Date,Totals,Total in Billions,Date
08/31/2022,109024000000.00,109.02,2022
12/31/2021,104029000000.00,104.03,2021
12/31/2020,105890000000.00,105.89,2020
12/31/2019,73536345315.00,73.54,2019
12/31/2018,61821792421.00,61.82,2018
12/31/2017,46107666542.00,46.11,2017
12/31/2016,55750278788.00,55.75,2016
12/31/2015,57333751899.00,57.33,2015
12/31/2014,75334319046.00,75.33,2014
12/31/2013,90073641743.00,90.07,2013
12/31/2012,95808640755.00,95.81,2012
12/31/2011,92585525384.00,92.59,2011
12/31/2010,60439448644.00,60.44,2010
12/31/2009,42300847722.00,42.30,2009
12/31/2008,21487336753.00,21.49,2008
12/31/2007,9833092338.00,9.83,2007
12/31/2006,13666660759.00,13.67,2006
12/31/2005,34714264905.00,34.71,2005
12/31/2004,62139796027.00,62.14,2004
12/31/2003,71912955980.00,71.91,2003
12/31/2002,70469729806.00,70.47,2002
12/31/2001,59901804093.00,59.90,2001
12/31/2000,49322126517.00,49.32,2000
12/31/1999,57496136237.00,57.50,1999
12/31/1998,66739842976.00,66.74,1998
12/31/1997,52568901205.00,52.57,1997
12/31/1996,42009082557.00,42.01,1996
12/31/1995,41586611940.00,41.59,1995
12/31/1994,30211445450.00,30.21,1994
12/31/1993,29139537930.00,29.14,1993
12/31/1992,27771636514.00,27.77,1992
12/31/1991,26664291722.00,26.66,1991
12/31/1990,23303762710.00,23.30,1990
12/31/1989,24649990786.00,24.65,1989
12/31/1988,26523969177.00,26.52,1988
12/31/1987,30618322055.00,30.62,1987
12/31/1986,35348075575.00,35.35,1986
12/31/1985,37665035197.00,37.67,1985
12/31/1984,37706647293.00,37.71,1984
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
