Entity,Year,Annual CO2 Emissions,GDP (millions)
United Kingdom,2000,569033660,1666126.494
United Kingdom,2001,577970560,1648658.414
United Kingdom,2002,560273200,1785843.825
United Kingdom,2003,571618750,2056612.245
United Kingdom,2004,573429760,2422958.623
United Kingdom,2005,570338370,2544805.455
United Kingdom,2006,567845600,2709911.684
United Kingdom,2007,559566460,3092821.128
United Kingdom,2008,544932400,2931501.838
United Kingdom,2009,494107700,2417638.261
United Kingdom,2010,511904580,2491397.494
United Kingdom,2011,469713300,2666403.005
United Kingdom,2012,487476770,2706340.967
United Kingdom,2013,477611260,2786315.215
United Kingdom,2014,438807070,3065223.28
United Kingdom,2015,422460800,2934857.946
United Kingdom,2016,399430140,2699659.681
United Kingdom,2017,387367140,2683399.007
United Kingdom,2018,379729760,2878152.147
United Kingdom,2019,364753280,2857057.848
United Kingdom,2020,326263200,2704609.16
United Kingdom,2021,346773200,3131377.763
