Item,"Price 
in April 2021",Price in April 2022
Beef mince,202,234
Chicken breast,322,350
Pasta,36,53
Vegetable oil,164,178
Crisps,71,83
Rice,80,92
Mixed frozen vegetables,78,89
Orange fruit juice,63,72
Bread,47,54
Breakfast cereal,69,76
Biscuits,39,45
Fruit squash,44,49
Ham,160,164
Tomato ketchup,58,61
Baked beans,29,31
Fish fingers,75,77
Onions,65,67
Tea,86,88
Bananas,73,74
Granulated sugar,66,67
Instant coffee,134,135
Milk,126,127
Tomatoes,64,65
Yoghurt,54,55
Apples,96,94
Chips,119,116
Sausages,87,84
Pizza,99,95
Cheese,95,88
Potatoes,87,75
,,
Source:,,
