Country Name,GDP ( 2020 USD millions)
Aruba,2610.038938
Afghanistan,20143.44215
Angola,53619.07351
Albania,15131.86627
Andorra,2891.022273
United Arab Emirates,349473.0153
Argentina,385540.2246
Armenia,12641.69752
American Samoa,716
Antigua and Barbuda,1370.281481
Australia,1326901.059
Austria,435225.238
Azerbaijan,42693
Burundi,2649.671999
Belgium,525211.8107
Benin,15651.54521
Burkina Faso,17933.60635
Bangladesh,373902.1347
Bulgaria,70240.27501
Bahrain,34723.35745
"Bahamas, The",9699.5
Bosnia and Herzegovina,19950.47117
Belarus,61371.12641
Belize,2080
Bermuda,6887.147
Bolivia,36629.84381
Brazil,1448559.976
Barbados,4671.8
Brunei Darussalam,12005.82576
Bhutan,2325.184481
Botswana,14930.07246
Central African Republic,2326.720921
Canada,1645423.408
Switzerland,739913.6198
Chile,252727.1937
China,14687673.89
Cote d'Ivoire,61348.57947
Cameroon,40773.24153
"Congo, Dem. Rep.",48716.96086
"Congo, Rep.",10483.15118
Colombia,270299.9849
Comoros,1225.039231
Cabo Verde,1703.698677
Costa Rica,62158.00223
Cuba,107352
Curacao,2496.174749
Cayman Islands,5608.9892
Cyprus,25008.44889
Czechia,245974.5587
Germany,3889668.895
Djibouti,3181.071154
Dominica,504.2148148
Denmark,355222.4495
Dominican Republic,78844.70233
Algeria,145009.1815
Ecuador,99291.124
"Egypt, Arab Rep.",365252.6513
Spain,1276962.686
Estonia,31370.39557
Ethiopia,107657.7344
Finland,271891.7884
Fiji,4477.04034
France,2639008.702
Faroe Islands,3248.696902
"Micronesia, Fed. Sts.",408
Gabon,15314.57717
United Kingdom,2704609.16
Georgia,15842.92253
Ghana,70043.19981
Gibraltar,0
Guinea,14177.83582
"Gambia, The",1812.169484
Guinea-Bissau,1431.758243
Equatorial Guinea,10099.15807
Greece,188925.9959
Grenada,1043.414815
Greenland,3076.015347
Guatemala,77625.48698
Guam,5886
Guyana,5471.256595
Honduras,23827.84081
Croatia,57472.01243
Haiti,14508.21802
Hungary,157182.0453
Indonesia,1058688.935
India,2667687.952
Ireland,425852.2819
"Iran, Islamic Rep.",239735.5711
Iraq,184369.7973
Iceland,21694.67481
Israel,413267.6692
Italy,1896755.302
Jamaica,13812.42504
Jordan,44182.29829
Japan,5040107.754
Kazakhstan,171082.3795
Kenya,100666.5427
Kyrgyz Republic,7780.874537
Cambodia,25872.79801
Kiribati,180.9118436
St. Kitts and Nevis,884.5259259
"Korea, Rep.",1644312.832
Kuwait,105960.2257
Lao PDR,18981.80071
Lebanon,31712.12825
Liberia,3039.9825
Libya,50357.31259
St. Lucia,1516.015719
Liechtenstein,6113.951012
Sri Lanka,85349.11217
Lesotho,2231.214507
Lithuania,56846.6229
Luxembourg,73992.59129
Latvia,34601.74032
"Macao SAR, China",25459.56366
Morocco,121348.1383
Monaco,6739.691605
Moldova,11859.73054
Madagascar,13051.44106
Maldives,3746.321936
Mexico,1090515.39
Marshall Islands,241.7224
North Macedonia,12363.58053
Mali,17465.39292
Malta,14933.06682
Myanmar,78930.25723
Montenegro,4769.860741
Mongolia,13312.98159
Mozambique,14028.81107
Mauritania,8405.491202
Mauritius,11401.05065
Malawi,12182.34821
Malaysia,337337.9327
Namibia,10581.58563
New Caledonia,9435.529927
Niger,13744.17469
Nigeria,432198.936
Nicaragua,12586.97051
Netherlands,909793.4667
Norway,362198.3184
Nepal,33433.67051
Nauru,114.6266256
New Zealand,211734.5323
Oman,75909.39766
Pakistan,300425.6668
Panama,53977
Peru,201705.0559
Philippines,361751.1163
Palau,251.9
Papua New Guinea,23848.2659
Poland,599449.1884
Puerto Rico,103020.3
Portugal,229031.8605
Paraguay,35432.17807
French Polynesia,5709.421969
Qatar,144411.3633
Romania,251362.0405
Russian Federation,1489362.488
Rwanda,10184.34544
South Asia,3487013.485
Saudi Arabia,703367.8412
Sudan,27034.59375
Senegal,24493.15758
Singapore,345295.9339
Solomon Islands,1536.148246
Sierra Leone,4063.28945
El Salvador,24563.02
San Marino,1541.204338
Somalia,6883
Serbia,53356.48045
Sao Tome and Principe,472.5510225
Suriname,2911.807496
Slovak Republic,106696.8286
Slovenia,53706.80004
Sweden,547054.1742
Eswatini,3982.226055
Seychelles,1261.198524
Syrian Arab Republic,11079.7954
Turks and Caicos Islands,924.583
Chad,10715.39614
Togo,7574.636979
Thailand,499681.757
Tajikistan,8133.996648
Timor-Leste,2158.39254
Tonga,484.8067183
Trinidad and Tobago,21059.42885
Tunisia,42537.83246
Turkiye,720289.3683
Tuvalu,55.05471062
Tanzania,62409.70911
Uganda,37600.36818
Ukraine,156617.8614
Uruguay,53560.75505
United States,21060473.61
Uzbekistan,59894.30535
St. Vincent and the Grenadines,872.1345556
Virgin Islands (U.S.),4204
Vietnam,346615.7507
Vanuatu,896.8798752
World,85105603.61
Samoa,868.9044777
Kosovo,7716.925356
South Africa,337619.6801
Zambia,18110.63136
Zimbabwe,21509.69841
